項次,裁處書日期,違規情節,罰鍰金額數,罰則註記
106,112/03/14,緣受處分人為「OO耳鼻喉科診所」負責醫師，該診所護理人員於112年2月7日原應為民眾施打莫德納次世代BA.4/5疫苗，惟診所護理人員為上開民眾施打標示效期為2023/2/6之莫德納次世代BA.4/5疫苗，造成1人接種逾期疫苗事件。該診所未善盡醫療上必要之注意，未善盡督導所屬醫事人員依法規規定執行業務之責，核已違反醫療法第57條第1項規定。,"50,000",醫療法第57條
107,112/03/09,"緣受處分人「OOOO」，本局稽查人員於112年1月16日至本市OO區OO路4段64號6樓查見該企業社營業場所大門入口處客人等候區牆面張貼海報刊登「進行客製化的療程，有效率地塑造理想身材於完整療程4次後，平均可增加16%的肌肉厚度予減少19%的脂肪厚度」並刊載有療程4次、2週完成療程效果與比較之前後影像，受處分人刊登醫療廣告，核已違反醫療法第84條規定。
","50,000",醫療法第84條
108,112/03/08,"受處分人係OOOO外科診所（機構代碼：35010OOOO）負責人，案係本局分別於111年10月25日、111年11月2日至該診所查察，經檢視病人蔡O希病歷紀錄及醫療費用收據，該員分別於111年8月15日、8月24日及9月1日接受醫療服務，惟該診所於110年3月13日及3月15日預先收取金額20,000元及40,000元；該診所以預先收取醫療費用後，預約治療之擅立收費項目方式進行服務，核已違反醫療法第22條第2項規定。","50,000",醫療法第22條第2項
109,112/03/07,受處分人110年11月11日9時25分於OOOO醫院OO院區，因對醫療人員以棉花棒提取鼻腔黏膜之篩檢動作不滿，遂於篩檢過程中出言辱罵，又不滿護理師之告誡，向護理師咆哮並欲作勢毆打，過程中亦踢倒醫院之椅子，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。,"30,000",醫療法第24條第2項
110,112/03/03,受處分人110年6月5日15時50分於OOOO醫院OO院區病房，因住院時擅自拿取隔壁病床之氧氣面罩，遭值班醫師及護理師阻止，除出言向2人辱稱白痴等語外，並徒手揮擊醫師之右手臂，另以腳踢護理師之右小腿，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。 ,"20,000",醫療法第24條第2項
111,112/02/23,案係民眾反映受處分人所屬「OOOO醫院」指名劉O民醫師進行婦科子宮肌瘤手術，醫院收取指名費6萬5000元。受處分人所屬醫療機構擅立收費項目收費之違規情事，核已違反醫療法第22條第2項規定。,"50,000",醫療法第22條第2項
112,112/02/22,緣受處分人係「OOO診所（機構代碼：35010OOOO）」負責醫師，案係該診所於網頁「OOO診所」（網址：https://www.eternal-OOOOic.com/testimonial/kol-sharOOOOer-gigigggggg5555/；本局下載日期：112年1月30日）刊登內容略以：「...來分享一下上次去恆美學體驗了『肌動減脂』的療程！...恆美學診所現在有很多的優惠方案!...有任何預約諮詢的都可以加官方LINE好友直接詢問喲!...」，並刊載診所名稱、地址及電話，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
113,112/02/20,受處分人係「OOO牙醫診所（機構代碼：3701192531）」負責醫師，案係該診所於Line 帳號「OOO牙醫診所(LINE ID:OOO牙醫診所 @cynosure)」刊登內容略以：「...1000元抵用券，僅限北極星牙醫診所自費項目1萬元（含）以上折抵使用，【加碼送您1000元好禮】...」，並刊載診所名稱，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
114,112/02/18,"緣係受處分人於個人抖音帳號「dr.chu.nosejob朱OO醫師鼻整形」（網址：https://www
.tiktok.com/@OOOOsejob?lang=zh-Hant；本局下載日期：112年1月4日）刊載「卡麥拉兩段式隆鼻，改三段結構...三段結構式隆鼻(自體肋.耳軟骨...」等病人術前術後對比影像，為宣傳醫療業務之醫療廣告，核已違反醫療法第84條規定。","50,000",醫療法第84條
115,112/02/16,"緣受處分人係「OOOO診所（機構代碼：35010OOOO）」負責醫師，案係該診所以贈送療程方式邀請網路社群媒體經營者郭O晶於Facebook帳號「I'm狼晶晶」（網址：https://www.facebook.com/OOOO006664237/posts/pfbid02Eg2Kfaoj23E1Qm9DiwnbeccKHZodFz14ghh2mHvcAmvEN2dU3E3SvP5zHwewSjkml/；本局下載日期：111年11月16日）刊登廣告內容略以：「...年前悄悄變美_進廠維修專案 想知道我的美麗價格：https://reurl.cc/gQ02Q7 OOOO線上客服：https://goo.gl/EZDGgb...」，並刊載診所名稱，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。

","50,000",醫療法第86條
116,112/02/14,OOOO診所(機構代碼：380OOOO6)於111年8月2日經本局核准開業，受處分人係該診所負責醫師，案係民眾反映該診所有非醫事人員執行調劑之情事，經本局人員112年1月12日至現場查察，經受處分人坦承屬實。經查衛生福利部醫事管理系統，該診所員工黃莞扉未具藥事人員資格，受處分人容留未具藥師資格者執行調劑之情事，核已違反醫療法第57條第2項規定。,"50,000",醫療法第57條
117,112/02/13,受處分人係「OOOO診所（機構代碼：35011OOOO）」負責醫師，案係該診所於Line帳號「OOOO診所-台北旗艦館」(LINE ID:OOOO診所 @tOOOOconi；本局下載日期:112年1月30日)刊載內容略以：「開工送紅包當日限定1/28...凡當日預約到店，不限新舊客，即可抽紅包乙個...通通有獎∣現場還有加碼好禮送不完...」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
118,112/02/13,"受處分人係「OOOO診所 」（機構代碼：35010OOOO）負責人，本局稽查人員於111年11月9日至該診所執行111年度提供美容醫學服務診所之專案稽查，經本局檢視診所提供病人林OO等2人預收款記錄單、醫療費用收據及病歷紀錄，診所分別於111年8月27日向病人林OO 收取金額海芙音800條1萬元，於111年11月1日執行前開療程，111年9月28日向病人王OO收取金額海芙因波拉皮單條及消脂針身體1巴掌5,000元，於10月4日施行前開治療。受處分人負責診所以事先收取醫療費用預約治療，實屬擅立收費項目收費，核已違反醫療法第22條第2項規定。","50,000",醫療法第22條第2項
119,112/02/10,緣受處分人係「OOOO牙醫診所（機構代碼：370115OOOO）」負責醫師，案係民眾反映該診所於門外懸掛優惠廣告之紅布條，經本局稽查人員111年12月30日至該診所查察，診所門口跑馬燈及懸掛紅布條皆刊有「...開幕期間免掛號費及各項優惠...」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
120,112/02/09,受處分人「OOO診所」（機構代碼：35010OOOO，負責醫師：林O安），案係本局111年10月17日派員至該診所查核，經檢視該診所詹O霖111年10月3日、鄒O庭111年9月19日、許O琦111年9月2日之醫療費用收據，未載明收費項目明細，已違反醫療法第22條第1項之規定。,0,醫療法第22條第1項
121,112/02/09,受處分人為「OOO診所」負責醫師，案係本局111年10月17日至該診所查察，經檢視該診所提供之病歷紀錄，查有病人詹O霖111年10月3日抽脂手術紀錄單、鄒O庭111年9月19日抽脂手術紀錄單及111年9月19日臉部手術紀錄單、許O琦111年9月2日抽脂手術紀錄單之護理人員簽名欄皆僅簽署「珮」；病人鄒O庭111年9月19日麻醉紀錄單之醫師簽名欄僅簽署「Dr.林」。該診所未督導醫事人員於病歷親自簽具全名或蓋章，核已違反醫療法第68條之規定。,"10,000",醫療法第68條第1項
122,112/02/08,緣受處分人係「OO牙醫診所（機構代碼：37010OOOO）」負責醫師，案係該診所於Facebook帳號「莊醫師好周道-微光牙醫」（網址：https://www .facebook.com /OOOOuang；本局下載日期：112年1月18日）刊登內容略以：「...微光開業以來的第一個新春優惠!...新春美白優惠 即日起施行診間美白(雷射美白+冷光美白)，可以半價購買居家美白...」，經點擊連結，查有網頁(網址：https://www.OOOOi.com/post/%E6%96%B0%E6%98%A5%E7%BE%8E%E7%99%BD%E5%84%AA%E6%83% A0?fbclid=IwAR1o4CEfSeMLwh4DA4h3j2plRNlyCuklbwD6Lhu94Id2cDSdSiW3OC0YBMY；本局下載日期：112年1月18日）刊登內容略以：「...新春美白優惠即日起施行診間美白(雷射美白+冷光美白)，可以半價購買居家美白，讓你的美白效果像可愛的小白兔一樣一直白下去...」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"60,000",醫療法第86條
123,112/02/03,"案係民眾反映OO牙醫診所未依規定開立收據，經本局查察病人林OO病歷資料及收費單，查有診所提供醫療服務及收取醫療費用如下：111年5月11日假牙釘柱及右上門牙牙冠增長術收取3,000元及8,000元；5月25日臨時假牙收取2,000元；6月4日假牙冠收取14,500元；7月9日假牙釘柱收取5,000元及10月12日假牙冠收取27,000元，收取醫療費用未按次當日開給載明收費項目及金額之收據，僅於111年6月4日及同年10月12日一次性開立醫療費用明細收據22,500及32,000元，核已違反醫療法第22條第1項之規定。",0,醫療法第22條第1項
124,112/02/01,受處分人係OOOO診所（機構代碼：35011OOOO）負責人，案係財政部臺北國稅局函轉民眾檢舉該診所未開立收據，經本局查有病人梁OO消費紀錄表載有「109.11.30預購週慶皮秒(蜂巢)+導入X8堂補差價金額35000」，其病歷「雷射療程紀錄表」載有109/10/1、109/12/12、110/2/27、110/4/23、110/7/29、110/12/3至111/4/23、111/6/17執行8-1至8-8共8次皮秒(蜂巢)+導入療程，該診所以收取一筆醫療費用預約治療之擅立名目收費，核已違反醫療法第22條第2項規定。,"50,000",醫療法第22條第2項
125,112/02/01,受處分人為「OOOO診所」負責醫師，案係財政部臺北國稅局函轉民眾檢舉該診所未開立收據，本局稽查人員於111年11月16日至該診所查察，查獲病人梁OO 110年7月29日至111年9月17日間病歷之療程紀錄單 「醫師」欄位無醫師簽名或蓋章、「護理人員」欄位未載明護理人員簽章及病人柯OO、梁OO病歷之雷射療程紀錄表「服務人員」欄位未載明醫事人員簽章等情，受處分人所負責醫療機構未督導所屬醫事人員於執行業務時，親自記載病歷並簽名或蓋章，已違反醫療法第68條第1項之規定。,"10,000",醫療法第68條第1項
126,112/01/31,"緣受處分人係「OO診所（機構代碼：3501OOOO）」負責醫師，案係該診所以贈送療程及團購等方式邀請網路社群媒體經營者傅O嫺於Instagram（網址：https://www.instagram.com/p/CjAxui7PzYy/?igshid=YmMyMTA2M2Y%3Dhttps%3A%2F%2Fshop.belleviespa.com.tw%
2Fproduct%2F%E3%80%90nina%E5%B0%88%E5%B1%AC%E2%80%A6；本局下載日期：111年10月12日）刊登廣告內容略以：「...這是我第一次體驗水飛梭 聽說#耐斯診所的機器是水飛梭界愛馬仕...【療程簡介】卸妝潔顏→水飛梭→QQ軟膜保濕導入(團購加贈)...這次幫大家爭取到的是單次體驗價 還有加贈保濕導入的QQ軟膜保養課程...索取體驗優惠歡迎點擊限動精選內的連結或是私訊我拿優惠~活動只到10/5要把握唷...#醫美...＃水飛梭...＃海菲秀...」，並刊載診所名稱，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","50,000",醫療法第86條
127,112/01/18,"緣受處分人係「OOOO診所（機構代碼：35010OOOO）」負責醫師，案係該診所於Facebook帳號「OOOO診所」（網址：https://www.facebook.com/OOOOd=533825115422044&set=pb.100063836801978.-2207520000.；本局下載日期：112年1月3日）刊登內容略以：「...聖誕限定美顏 2022/12/01...2022/12/31...擊敗黑色素 皮秒三堂 $16,800 加購 深層補水導入 $600...」，並刊載診所名稱，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。
","50,000",醫療法第86條
128,112/01/09,"緣受處分人係「OO診所（機構代碼：3501196106）」負責醫師，案係該診所於Google maps網站(網址：https://www.google.comOOOOe/可為診所/@OOOO,121.5053433,15z/data=!4m4!3m3!1s0x0:0xdd2e332aOOOO11m1!2e1;本局下載日期：111年12月21日)刊登內容略以：「…肝膽腸胃一般內科…來診即招待健康檢查...」，並刊載診所名稱，及診所門口懸掛布條刊有「可為診所肝膽腸胃/內科，來診招待健康檢查」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","60,000",醫療法第86條
129,112/01/06,緣係民眾反映受處分人於Facebook「減重_新陳代謝專科_邱O博醫師」（網址：https://www.facebook.com/OOOO；本局下載日期：111年12月20日）刊載內容略以：「...目前在台上市腸泌素針劑有 4 種單方製劑，分別是#易週糖、#胰妥讚、#胰妥善、#善纖達...減重不只是看體重機上的數字減少，更重要的是能夠健康、有效、安全的減重。如果你有任何減重問題，歡迎找邱勝博醫師聊聊!...」，並於該廣告下方留言處刊載：「有減重或是控糖的困擾，可以加官方Line好友https://lin.ee/ta1d0KG」、「歡迎加入台北享新代診所官方line喔！」等宣傳醫療業務，核已違反醫療法第84條規定。,"50,000",醫療法第84條
130,112/01/06,緣受處分人係「OO診所（機構代碼：3501OOOO）」負責醫師，案係該診所於「OO診所 Dr.meemee」Facebook（網址：https://www.facebook.com/OOOO；本局下載日期：111年12月16日）刊登內容略以：「...2022週年慶預告！即將迎來OO診所2022週年慶啦！?11月開跑? 這次便宜到小編自己都買好幾組XD！太便宜了！等不急要跟各位水水分享，偷偷先透露一部份～噓 肉毒小臉x3堂 12XXX 肉毒x3瓶 41XXX 海芙音波500條 27XXX 海芙音波1000條 50XXX...～2022最便宜～...」，並刊載貴診所電話、地址、營運時間等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
131,112/01/06,"緣受處分人係「OOOO診所（機構代碼：3501OOOO）」負責醫師，案係該診所經由所屬集團行銷部門於Facebook帳號「OOOOTrust me, you can make it.」網頁(網址：https://www.facebook.comOOOO/?ref=page_internal及https://2022promOOOOcom.tw/booking.html，本局下載日期：111年12月12日)刊登內容略以：「...OOOO纖體醫妍診所預約諮詢可享眼尾肉毒0元...醫美肉毒桿菌素拉提課程，撫平令人害羞的小細紋全台媚OOOO醫妍診所陪你迎接2023約諮詢再享免費眼尾肉毒拉提體驗，一人預約可兩人同行...洽詢全省OOOO診所...(台北忠孝...、台北安和...)...媚登峰2022週年慶，媚登?全門市開放預約中...媚登?纖體醫妍診所 肉毒眼尾拉提0元體驗...纖體醫妍診所...忠孝診所...安和診所...」等內容，並刊載診所名稱、地址及電話，以優惠等具有意圖促銷之醫療廣告為宣傳，所為核已違反醫療法第86條之規定。","50,000",醫療法第86條
132,112/01/04,緣受處分人係「OOOO牙醫診所（機構代碼：37010OOOO）」負責醫師，案係該診所於Instagram帳號「OOOO牙醫診所（@OOOOlant） 」 （網址：https://www.instagram.com/drOOOOt/；本局下載日期：111年12月22日）刊登內容略以：「...年終狂歡貼片8折...2022年終狂歡慶...陶瓷貼片優惠中...『陶瓷貼片』改造只需要3次回診豐滿的唇型、適中的齒齦比例...讓笑容自信提升70%...預約資訊...尊榮民權分院...」，核已違反醫療法第86條規定。,"50,000",醫療法第86條
