項次編號,行政區代碼,里別,列管名稱,列管要件,搶救困難地區場所,轄區分隊,聯絡電話
68,63000100,清白里,星雲街168巷部分路段,火災搶救困難地區,力霸國鼎大廈,大湖分隊,(02)27906455
69,63000100,大湖里,成功路5段152巷,火災搶救困難地區,大湖內閣大樓,大湖分隊,(02)27906455
70,63000100,清白里,星雲街150巷部分路段,火災搶救困難地區,大成大賞公寓大廈,大湖分隊,(02)27906455
71,63000100,紫陽里,成功路3段及文德路220巷部分路段,火災搶救困難地區,瑞安老人養護所,內湖分隊,(02)27911511
72,63000100,葫州里,民權東路6段280巷部分路段,火災搶救困難地區,童音老人養護所,東湖分隊,(02)26325393
73,63000100,秀湖里,成功路4段323巷,囊底路,囊底路,大湖分隊,(02)27906455
74,63000100,葫州里,康寧路3段70巷,長巷道,長巷道,東湖分隊,(02)26325393
75,63000100,西湖里,內湖路1段285巷69弄,長巷道,長巷道,內湖分隊,(02)27911511
76,63000100,葫洲里,康寧路3段190巷,長巷道,長巷道,東湖分隊,(02)26325393
77,63000100,行善里,行善路25巷,長巷道,長巷道,東湖分隊,(02)26325393
78,63000100,金龍里,金龍路47巷及金龍路67巷,長巷道,長巷道,大湖分隊,(02)27906455
79,63000100,紫雲里,康寧路1段156、176巷,囊底路,囊底路,大湖分隊,(02)27906455
80,63000100,紫雲里,康寧路1段214巷,囊底路,囊底路,大湖分隊,(02)27906455
81,63000100,清白里,成功路4段223巷,囊底路,囊底路,大湖分隊,(02)27906455
82,63000100,西安里　,內湖路一段47巷8弄,社區參與,社區參與,內湖分隊,(02)27911511
83,63000100,西安里,內湖路1段91巷92弄21號至十方意境社區,囊底路,囊底路,內湖分隊,(02)27911511
84,63000100,湖濱里,內湖路2段253巷1弄,火災搶救困難地區,臺北市私立祥家老人養護所,內湖分隊,(02)27911511
85,63000010,慈祐里,八德路4段520號旁巷道,社區參與,社區參與,八德分隊,(02)27694642
86,63000010,慈祐里,饒河街觀光夜市,火災搶救困難地區,饒河街觀光夜市,八德分隊,(02)27694642
87,63000010,鵬程里,健康路399號建築物週邊部分路段,火災搶救困難地區,鵬程啟能中心,八德分隊,(02)27694642
88,63000010,中華里,敦化北路145巷,長巷道,長巷道,中崙分隊,(02)87737055
89,63000010,富泰里,三民路110巷(建成花園大廈),火災搶救困難地區,建成花園大廈,八德分隊,(02)27694642
90,63000010,富錦里,三民路130巷,囊底路,囊底路,八德分隊,(02)27694642
91,63000010,新益里,撫遠街300巷,社區參與,社區參與,八德分隊,(02)27694642
92,63000010,安平里,寶清街103巷前段,社區參與,社區參與,八德分隊,(02)27694642
93,63000040,中山里,長春路3巷,火災搶救困難地區,老舊社區,松江分隊,(02)25178353
94,63000040,中山里,中山北路2段59巷29弄,火災搶救困難地區,老舊社區,松江分隊,(02)25178353
95,63000040,正義里,林森北路159巷,火災搶救困難地區,老舊社區,松江分隊,(02)25178353
96,63000040,正得里,中山北路1段83巷,火災搶救困難地區,老舊社區,松江分隊,(02)25178353
97,63000040,劍潭里,通北街118巷及132巷,火災搶救困難地區,老舊社區,大直分隊,(02)85091652
98,63000040,劍潭里,中山北路4段1巷,火災搶救困難地區,圓山飯店,大直分隊,(02)85091652
99,63000040,北安里,北安路841巷,火災搶救困難地區,老舊社區,大直分隊,(02)85091652
100,63000040,大佳里,松江路581巷,長巷道,長巷道,圓山分隊,(02)25913384
101,63000040,正得里,中山北路1段105巷,火災搶救困難地區,老舊社區,松江分隊,(02)25178353
102,63000040,正義里,林森北路107巷,火災搶救困難地區,老舊社區,松江分隊,(02)25178353
103,63000040,埤頭里,八德路2段300巷,火災搶救困難地區,大潤發賣場,松江分隊,(02)25178353
104,63000040,康樂里,中山北路2段39、45巷(晶華酒店),火災搶救困難地區,晶華酒店,松江分隊,(02)25178353
105,63000040,民安里,中山北路1段140巷右轉南京西路12巷以北路段,社區參與,社區參與,松江分隊,(02)25178353
106,63000040,中山里,中山北路2段59巷,火災搶救困難地區,中興電工機械林森站停車塔,松江分隊,(02)25178353
107,63000040,恆安里,雙城街17巷,社區參與,社區參與,圓山分隊,(02)25913384
108,63000040,中山里,雙城街49巷,社區參與,社區參與,圓山分隊,(02)25913384
109,63000040,恆安里,中山北路2段183巷,火災搶救困難地區,臺灣聯通停車場,圓山分隊,(02)25913384
110,63000060,永樂里、玉泉里,貴德街,火災搶救困難地區,第9類,延平分隊,(02)25582105
111,63000060,永樂里,永昌街,火災搶救困難地區,第9類,延平分隊,(02)25582105
112,63000060,大有里,安西街,火災搶救困難地區,第9類,延平分隊,(02)25582105
113,63000060,永樂里、朝陽里,甘谷街,火災搶救困難地區,第9類,延平分隊,(02)25582105
114,63000060,延平里、大有里、雙連里,歸綏街,火災搶救困難地區,第9類,大同分隊,(02)25504001
115,63000060,雙連里,萬全街,火災搶救困難地區,第9類,大同分隊,(02)25504001
116,63000060,建明里,長安西路78巷,火災搶救困難地區,第5類德寶老人養護所,延平分隊,(02)25582105
117,63000060,建明里,鄭州路21巷,火災搶救困難地區,第9類華陰商圈,延平分隊,(02)25582105
118,63000060,建明里,重慶北路1段15巷,火災搶救困難地區,第9類華陰商圈,延平分隊,(02)25582105
119,63000060,重慶里,哈密街59巷78弄,火災搶救困難地區,第9類中興國宅,大同分隊,(02)25504001
120,63000060,民權里,民權西路184巷,火災搶救困難地區,第9類,大同分隊,(02)25504001
121,63000060,光能里,南京西路25巷,長巷道,長巷道,大同分隊,(02)25504001
122,63000060,光能里,赤峰街,長巷道,長巷道,大同分隊,(02)25504001
123,63000060,景星里,迪化街2段,火災搶救困難地區,第9類,大同分隊,(02)25504001
124,63000110,陽明里,華崗路47巷,火災搶救困難地區,第9類文化大學美食廣場,山仔后分隊,(02)28616431
125,63000110,陽明里,光華路26巷,火災搶救困難地區,第9類文化大學美食廣場,山仔后分隊,(02)28616431
126,63000110,陽明里,格致路20巷,囊底路,囊底路,山仔后分隊,(02)28616431
127,63000110,菁山里,新園街,火災搶救困難地區,第9類山區學生宿舍,山仔后分隊,(02)28616431
128,63000110,葫蘆里,延平北路5段163巷,火災搶救困難地區,第9類葫蘆市場,社子分隊,(02)28118221
129,63000110,永倫里,永平街9巷,火災搶救困難地區,第9類,社子分隊,(02)28118221
130,63000110,三玉里、蘭雅里,忠誠路2段10巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
131,63000110,三玉里,忠誠路2段53巷,火災搶救困難地區,第5類三玉啟能中心,天母分隊,(02)28714111
132,63000110,天玉里,天母北路72巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
133,63000110,天福里,天母東路8巷30弄,社區參與,社區參與,天母分隊,(02)28714111
134,63000110,天和里,天母東路105巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
135,63000110,蘭雅里,士東路2巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
136,63000110,蘭雅里,士東路46巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
137,63000110,蘭雅里,士東路54巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
138,63000110,蘭興里,中山北路6段195巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
139,63000110,蘭雅里,中山北路6段236巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
140,63000110,蘭興里,中山北路6段277巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
141,63000110,蘭雅里,中山北路6段290巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
142,63000110,天壽里,中山北路6段405巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
143,63000110,天壽里,中山北路6段427巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
144,63000110,天祿里,中山北路6段450巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
145,63000110,天祿里,中山北路6段754巷,長巷道,長巷道,天母分隊,(02)28714111
146,63000110,東山里,德行東路379巷,囊底路,囊底路,天母分隊,(02)28714111
147,63000110,福林里,至善路1段138巷,長巷道,長巷道,劍潭分隊,(02)25951091
148,63000110,蘭興里,克強路10巷,火災搶救困難地區,第9類,天母分隊,(02)28714111
149,63000110,仁勇里,大東路,火災搶救困難地區,第9類士林夜市,劍潭分隊,(02)25951091
150,63000110,仁勇里,大南路,火災搶救困難地區,第9類士林夜市,劍潭分隊,(02)25951091
151,63000110,仁勇里,大西路,火災搶救困難地區,第9類士林夜市,劍潭分隊,(02)25951091
152,63000110,仁勇里,大北路,火災搶救困難地區,第9類士林夜市,劍潭分隊,(02)25951091
153,63000110,永福里,仰德大道2段2巷,火災搶救困難地區,第5類至善老人安養中心,山仔后分隊,(02)28616431
154,63000110,永倫里,延平北路6段392巷,社區參與,社區參與,社子分隊,(02)28118221
155,63000110,天山里天和里,中山北路7段114巷,長巷道,長巷道,天母分隊,(02)28714111
156,63000110,天母里,中山北路7段219巷,囊底路,囊底路,天母分隊,(02)28714111
157,63000110,陽明里,菁山路72巷連通菁山路72巷20弄,長巷道,長巷道,山仔后分隊,(02)28616431
158,63000120,湖山里,湖底路26-1號,火災搶救困難地區,第9類,陽明山分隊,(02)28616119
159,63000120,林泉里,新民路22巷,火災搶救困難地區,第9類中心新村,光明分隊,(02)28913161
160,63000120,林泉里,中心街,火災搶救困難地區,第9類中心新村,光明分隊,(02)28913161
161,63000120,林泉里,溫泉路148號至178號,囊底路,囊底路,光明分隊,(02)28913161
162,63000120,林泉里,幽雅路杏林巷,囊底路,囊底路,光明分隊,(02)28913161
163,63000120,建民里,文林北路94巷,火災搶救困難地區,第5類榮建老人養護所,石牌分隊,(02)28213119
164,63000120,文林里,文林北路218巷,火災搶救困難地區,第4類遠東瑞士社區大廈,石牌分隊,(02)28213119
165,63000120,建民里,承德路6段331巷,火災搶救困難地區,第9類,石牌分隊,(02)28213119
166,63000120,中心里,中山路,火災搶救困難地區,第4類天月大廈,秀山分隊,(02)28958753
167,63000120,文林里,建民路,火災搶救困難地區,第5類建民老人養護所,石牌分隊,(02)28213119
168,63000120,永明里,義理街63巷,火災搶救困難地區,第5類倚青老人養護所,石牌分隊,(02)28213119
169,63000120,振華里,明德路335巷連通裕民一路41巷,火災搶救困難地區,第5類育成裕民發展中心,石牌分隊,(02)28213119
170,63000120,長安里,光明路131巷,火災搶救困難地區,第9類七虎新村,光明分隊,(02)28913161
171,63000120,永和里,行義路55巷,囊底路,囊底路,陽明山分隊,(02)28616119
172,63000120,永欣里,石牌路2段315巷,火災搶救困難地區,第5類瑞暉、長暉老人養護所,石牌分隊,(02)28213119
173,63000120,永欣里,石牌路2段325巷,火災搶救困難地區,第5類再生老人養護所,石牌分隊,(02)28213119
174,63000120,永和里,石牌路2段357巷,火災搶救困難地區,第5類義行老人養護所,陽明山分隊,(02)28616119
175,63000120,福興里,致遠一路2段111巷連通石牌路1段58巷,長巷道,長巷道,石牌分隊,(02)28213119
176,63000120,一德里,中央北路4段583巷連通中央北路4段577巷27弄,長巷道,長巷道,關渡分隊,(02)28586084
177,63000120,關渡里,大度路3段301巷128弄,囊底路,囊底路,關渡分隊,(02)28586084
178,63000120,永欣里,天母西路117巷連通同巷52弄,長巷道,長巷道,石牌分隊,(02)28213119
179,63000120,榮華里,天母西路120巷,火災搶救困難地區,第4類天墅大樓,石牌分隊,(02)28213119
180,63000120,立農里吉利里,吉利街239號至吉利街與西安街2段交岔口,長巷道,長巷道,光明分隊,(02)28913161
181,63000120,福興里,自強街5巷,長巷道,長巷道,石牌分隊,(02)28213119
182,63000120,中和里,大屯路連通復興四路89巷,長巷道,長巷道,秀山分隊,(02)28958753
183,63000120,永欣里,行義路10巷9弄,社區參與,社區參與,石牌分隊,(02)28213119
184,63000120,奇岩里,崇仰一路,囊底路,囊底路,光明分隊,(02)28913161
185,63000120,奇岩里,公館路255巷19弄,長巷道,囊底路,光明分隊,(02)28913161
