年度,災害名稱,成立時間,撤除時間,災情
81,芭比(Bobbie)颱風(中度),81年6月27日22時,81年6月28日15時,無
81,寶莉(Polly)颱風(輕度),81年8月29日10時,81年8月31日10時,"路樹傾倒8棵
招牌掉落5件
電線吹落2件
交通號誌損壞1件
電線桿傾倒1件"
81,歐馬(Omar)颱風(中度),81年9月3日23時,81年9月5日10時,"輕傷1人
路樹傾倒705棵
交通號誌損壞13件"
81,泰德(Ted)颱風(輕度),81年9月22日10時30分,81年9月23日10時10分,無
82,楊希(Yancy)颱風(強烈),82年9月1日11時,82年9月2日10時,無
83,提姆(Tim)颱風(強烈),83年7月10日18時30分,83年7月11日16時,"輕傷11人
路樹傾倒約33,159棵
停電約45萬戶
路燈停電33,000盞
交通號誌損壞225處
電線掉落37件
招牌掉落46件
其他災害113件"
83,道格(Doug)颱風(強烈),83年8月10日3時,83年8月11日21時,"輕傷22人
停電約8,000戶
停話9,857戶
路樹吹倒17,173棵
房屋半倒1間
路燈失明21,168盞
交通號誌損壞212處
招牌掉落46件
其他災害113件"
83,弗雷特(Rred)颱風(強烈),83年8月19日3時,83年8月21日上午,"停電約11,000戶
停話500戶
路樹吹倒約1,550棵
交通號誌損壞20處
招牌掉落36件"
83,葛拉絲(Gladys)颱風(中度),83年8月31日22時,83年9月1日20時20分,"輕傷16人
停電約60,000戶
停話23,000戶
路樹吹倒約9,300棵
交通號誌損壞87處
招牌掉落28件
山坡落石砸破民房牆壁1件
其他災害17件"
83,席斯(Seth)颱風(強烈),83年10月8日16時,83年10月9日8時,"死亡2人、輕傷2人
坍方1處
積水2處
停電126,000戶
停話4,477戶
房屋全倒1間
路樹損壞約7,346棵
交通號誌損壞38處
招牌掉落20件
其他災害28件"
84,賴恩(Ryan)颱風(中度),84年9月21日13時20分,84年9月23日0時50分,無
85,賀伯(Herb)颱風(強烈),85年7月30日8時30分,85年8月1日21時40分,"重傷28人、輕傷348人
房屋全倒4間、半倒40間
停電79,513戶
停話1,146戶
停水21,995戶
路樹傾倒3,721棵
交通號誌損壞241件"
86,溫妮(Winnie)颱風(中度),86年8月17日7時30分,86年8月19日7時,"死亡10人、輕傷31人
房屋全倒1戶、半倒2戶
停電1,500戶
停話9,175戶
農田損失170公頃
農作物損失：士林社子蔬菜50公頃、洲美再生稻120公頃
坍方12處
淹水地區13處(約658戶)
路樹全倒261棵、半倒301棵"
86,安珀(Amber)颱風(中度),86年8月28日6時,86年8月30日1時30分,"輕傷24人
房屋半倒1戶、屋頂損壞1戶、停電4,300戶、電線掉落10處、停話2,877戶
招牌掉落280處
坍方1處、淹水地區11處
路樹全倒1,123棵、半倒847棵
自來水管破裂一處
交通號誌損壞17處
路燈損壞5,735盞"
87,奧托(Otto)颱風(輕度),87年8月4日4時30分,87年8月5日3時30分,無
87,楊妮(Yanni)颱風(輕度),87年9月28日1時30分,87年9月29日11時,"路樹半倒1棵
交通號誌損壞3件、道路受損2件
積水17處、坍方5處
電線桿損壞1件、變電箱故障2件"
87,瑞伯(Zeb)颱風(強烈),87年10月15日4時30分,87年10月17日10時30分,"(10/16停止辦公上課)
死亡5人、輕傷10人
房屋半倒5戶
停電15,000戶、電線(桿)損壞50件
停話20,618戶
招牌掉落23處
坍方43處
淹水地區240處、約692戶
路樹全倒5,094棵、半倒2,453棵
交通號誌損壞31件、路燈故障13,688盞
農田損失50公頃
垃圾清運300噸
其他災害71件(豬死亡流失100頭)"
87,芭比絲(Babs)颱風(中度) ,87年10月25日7時,87年10月27日22時,"(10/27市轄高中以下學校停止上課1天，公務人員(含學校行政人員)仍照常辦公
房屋全倒2戶、半倒2戶
停電3件
坍方(落石)15處
積水地區33處
路樹傾倒2棵
交通號誌損壞8處
道路受損坑洞6處"
88,921集集大地震,88年9月21日2時5分,88年10月1日12時,"(9月21日停止辦公上課)
死亡74人(含1人心臟病到院前死亡)
失蹤14人
受傷316人
房屋全倒3件(76戶)-松山區八德路4段600號(松山賓館)、景美女中敦品大樓、環河南路1段159號。
危險房屋經鑑定有26棟為危險房屋
房屋龜裂199棟
瓦斯漏氣213件
電梯受困29件
全市全面停電
火災3件
發電機冒煙7件
其他服務43件"
89,啟德(Kai-Tak)颱風(中度),89年7月9日8時,89年7月9日23時,"停電1件(十餘戶)
電線掉落1件
擋土牆龜裂1處(松山路675之1號)
路樹全倒1件
河堤缺口1處(民族西路底至環河北路交叉處因施工造成寬1公尺、高2公尺之缺口)"
89,碧利斯(Bilis)颱風(強烈),89年8月21日23時,89年8月23日15時40分,"(8/22日13時起至8/23日停止上班上課)
輕傷42人、停電1,000戶(23日21時己完全復電)
招牌掉落131處、坍方8處(北投區泉源路惇敘高工附近土石滑落、士林區德東路332巷12號斜上方山坡地土石崩落有巨石墜落、內湖區康樂街過龍山嶺約50公尺處山坡地土石崩落、士林區至善路3段71巷明德樂園上方坍方、內湖區碧山路22至26號土石崩落、巴拉卡道路無名橋上方土石崩落、文山區萬寧路36巷14號前國宅工地邊坡坍方、內湖區內湖路2段179巷81弄後山土石崩落。)、積水地區8處、房屋淹水1戶、路樹全倒1,043棵、半倒2,262棵、交通號誌損壞111件、路燈故障209盞、垃圾清運74,255噸、其他災害4件"
89,巴比侖(Prapiroon)颱風(輕度),89年8月28日17時30分,89年8月30日9時,"停電1件28戶
招牌掉落2處
坍方1處(德行東路332巷12號側山坡地坍方)
積水地區2處(北投區陽明路1段15至19號一帶、市民大道往東過光復北路約400公尺橋面上積水)
路樹全倒13棵
其他災害10件"
89,寶發(Bopha)颱風(輕度),89年9月23時,89年9月10日6時10分,無
89,雅吉(Yagi)颱風(中度),89年10月26日17時,89年10月26日6時,無
89,象神(Xangsane)颱風(中度),89年10月31日19時,89年11月3日23時,"(11/2~4淹水地區停止辦公上課。
11/1高中以下學校停止上課，下午淹水地區停止辦公)
死亡1人
受傷2人
電力停電約48,000戶
電信停話21,158戶
自來水停水16,000戶
路樹受損全倒52棵、半倒329棵
積水地區153處
招牌掉落17處
電線(桿)掉落6處
坍方33處
道路受損12處
路燈故障10處
瓦斯漏氣2次
火警搶救8件
緊急救護552件
其他災害98件"
90,桃芝(Toraji)颱風(中度),90年7月28日23時,90年7月31日5時35分,"(7/30停止辦公上課)
路樹傾倒3處
交通號誌損壞1處
電線掉落1處"
90,納莉(Nari)颱風(中度)-90年16號颱風,90年9月15日8時30分,90年9月24日17時,"(酌留7個局處持續作業至28日13時)
(9月17日、9月18日停止辦公上課)
死亡27人、失蹤3人、重傷16人、輕傷123人
房屋倒塌全倒6戶、半倒49戶
廢棄物清運約十萬噸
捷運站淹水24處
地下室積水4,151棟
市區道路積水280處
電力停電621,500戶
電信停話11,400
自來水16,557戶
學校受損101所
路樹受損1,620棵
交通號誌損壞698組
火警搶救47件
緊急救護2,103件 "
90,海燕(Haiyan)颱風(中度),90年10月15日17時20分,90年10月16日18時,無
91,331地震,91年3月31日14時55分,91年4月1日14時,"死亡5人(皆為臺北金融大樓吊車掉落死亡，陳信錫、陳又禎、林建成、孫同英及陳錦水等5人，其中陳錦水及孫同英送醫後死亡)
重傷29人
輕傷237人
房屋全倒1棟(10戶)、半倒1楝
房屋龜裂(學校35所輕微受損)
道路受損2件
瓦斯漏氣273件
電梯受困22件
停電1,500戶
火災1件
災民收容人數：13人(大同區公所內)
其他服務121件"
91,那克莉(Nakri)颱風(輕度)-91年8號颱風,91年7月9日8時30分,91年7月10日21時,"電力停電1件
積水區7件
坍方8件
道路受損3件
路樹全倒7棵、半倒4件
火災3件
緊急救護311件
其他服務10件"
91,辛樂克(Sinlaku)颱風(中度)-91年16號颱風,91年9月5日8時30分,91年9月7日20時30分,"(9月6日停止上班上課)
坍方4件
積水區6件
房屋淹水3件
道路受損12件
堤防損壞14件
路樹全倒22件
路樹半倒17件
交通號誌損壞1件
招牌掉落3件
火警搶救5件
緊急救護407件
其件38件"
92,"SARS疫災嚴重急性呼吸道症候群(severe acute respiratorysyndrome, SARS)",92年4月25日11時(防止SARS疫擴大緊急應變小組)／工務局406會議室,92年5月31日24時,"91年11月廣東省佛山市地區首先傳出SARS疫情
0314臺灣地區發生第一起本土病例
0315世界衛生組織發佈臺灣地區為警訊區
0328本市成立SARS緊急小組
0424和平醫院封院
0427前術生局長葉金川(市府顧問)進入和平醫院指揮及調度
0429私立仁濟醫院封院
0429進入市政大樓全面實施量測體溫
0429新增免費服務專線(0800-030598)
0510萬芳仁愛設立發燒篩檢站，其餘市立醫院於0512前設置完成。
0511起搭捷運需配載口罩。
0601臺北市實施全民量體溫10天。
0601本市疫情漸趨穩定，有關SARS災害應變中心自6月1日起運作機制調整為「臺北市政府SARS防治及復原委員會」運作，由衛生局接手運作。
0617我國從世界衛生組織旅遊警示區除名。
0630臺北市醫療院所通報病例累計數為1,515例，其中臺北市籍957例(63.2％)，外縣市有557例(36.8％)。最後經檢驗結果及行政院衛生署疾病管制局之專家判定結果：臺北市籍可能病例計有263例，疑似病例477例，中央疾病管制局排除148例，取消通報69例。(截至920630止)
0705自流行區除名。
死亡29人(截至920702止，全臺灣地區共有84例SARS死亡病例)"
92,梵高(Vamco)颱風(輕度)-11,92年8月19日14時,92年8月20日6時,無
92,米勒(Melor)颱風(輕度)-92年19號颱風,"92年11月3日9時(二級開設)
92年11月3日12時(一級開設)",92年11月3日15時,無
93,康森(Conson)颱風(中度)-93年4號颱風,93年6月8日22時(二級開設),93年6月9日18時,"緊急救護357件
火警2件"
93,敏督利(Mindulle)颱風(中度) -93年7號颱風,"93年6月30日22時(二級開設)
93年7月1日14時(一級開設)",93年7月3日8時,"電力停電650戶
房屋淹水1戶
積水區4處
路樹絆倒5件
路樹全倒15件
招牌掉落2件
電線桿損壞1件
緊急救護574件／其他12件
襲擊臺灣的「敏督利颱風」，風力雖不強，但引進豐沛的西南氣流，所降下的驚人雨量，造成中南部地區災情慘重。本府於4日16時市府大樓前由　市長授旗後即展開支援中部縣市救援行動。第一梯次支援人車由本市搜救隊隊長許志敏率本府相關局處救災人員100名、各式救災車輛40部、2隻搜救犬及搶救各式搜救器材等，前往南投、臺中縣支援救災及重建工作。"
93,蘭寧(Rananim)颱風(中度) -93年13號颱風,"93年8月11日15時(二級開設)
93年8月11日20時(一級開設)",93年8月12日18時,"輕傷4人
積水區4處
道路受損兩處
路樹半倒10件
路樹全倒29件
招牌掉落1件
緊急救護245件
其他12件"
93,艾利(Aere)颱風(中度)-93年17號颱風,"93年8月23日19時(二級開設)
8月24日0時(一級開設)",93年8月25日21時,"(8月24及25日停止上班上課)
人員輕傷31名
坍方落石30件
積水區49件
房屋淹水19件
電力停電49,662戶
電信停話141戶
路燈故障9件
電線(桿)損壞33件
道路受損19件
路樹全倒1,016件
路樹半倒169件
交通號誌損壞45件
招牌掉落1,105件
火警搶救3件/緊急救護431件
其它282件
市長召開6次整備會議
艾利颱風重創北臺灣，新竹縣五峰鄉山區爆發土石流，造成廿多戶慘遭掩埋。本局於8月27日9時接獲消防署楊科長來電，請求支援40名本市搜救隊人員，前往新竹縣支援艾利颱風搶救勤務。搜救隊立即出動各式救災車輛10部、人員40名及搜救犬(Inga和koda)，於13時30分到達新竹縣政府完成報到，接受縣府任務派遣執行山區部落人命搜救工作，並於8月29日20時返回臺北。"
93,911水災,"93年9月11日2時(二級開設)
93年9月11日4時15分(一級開設)",93年9月11日19時30分,"93年9月10日22時成立緊急應變小組
人員死亡1名
人員輕傷4名
電力停電7,013戶
坍方(落石)28件
積水區187件
房屋淹水87件
道路受損17件
路樹全倒11件
垃圾清運2噸
路樹半倒3件
交通號誌損壞34件
電信停話集中於中山區、南港區、大同區及東湖。
電線桿損壞1件
火警搶救3件。緊急救護238件。其它88件"
93,海馬(Haima)颱風(輕度) -93年20號颱風,93年9月12日3時(接續911災害應變中心持續開設),93年9月12日14時,"人員輕傷1名
坍方(落石)10件
積水區4件
房屋淹水1件
道路受損13件
房屋半倒1戶
路樹全倒9件
垃圾清運322.8噸
路樹半倒2件
招牌掉落6件
火警搶救1件
緊急救護149件
其它10件"
93,1015地震,93年10月15日12時10分,93年10月15日16時,"人員受傷3名
電線脫落1件"
93,納坦(Nock-Ten)颱風(中度) -93年24號颱風,"93年10月24日14時(二級開設)
10月24日17時(一級開設)",93年10月25日23時30分,"(10月25日停止上班上課)
人員死亡1名(重傷送醫不治)
人員受傷34名
坍方落石10件
電信停話2戶
積水區28件
房屋淹水5件
電力停電25,000戶
路燈故障5件
電線(桿)損壞32件
道路受損4件
路樹傾倒2,293件
交通號誌損壞20件
招牌掉落119件
火警1件
緊急救護313件
市長召開4次整備會議"
93,南瑪都(Nanmadol)颱風(中度) -93年27號颱風,"93年12月3日14時30分(二級開設)
93年12月3日23時(一級開設)",93年12月3日14時30分,"道路積水2件
路樹倒塌4件
交通號誌損壞1件
路燈故障1件
招牌掉落2件
電線(桿)損壞1件
火警1件
緊急救護251件
市長召開2次整備會議"
94,0612中南部水災支援勤務,1994年6月14日,94年6月16日10:30授旗後啟程至6月26日18時完成任務。,"一、中央氣象局自6月12日10時30分起陸續發布臺灣地區豪雨特報，因受梅雨鋒面與西南氣流影響帶來超大豪雨，在中南部肆虐成災，其中屏東、臺南、嘉義、南投及雲林等地區受創最為嚴重。有鑑中南部災情慘重，為發揮本府『人饑己饑、人溺己溺』之大愛精神，特派遣支援小組前往救援，以提昇受災縣市政府之救災效能及有效展開災後重建工作。本府支援隊伍，不顧烈日與垃圾之惡臭，紀律嚴明、主動熱忱貼心不眠不休積極之服務，廣受媒體報導及民眾好評。
二、於6月14日奉令研擬「支援0612豪雨重創南部災區評估報告」，並於6月15日11時由本府緊急應變小組召集人葉副市長假市府11樓準備室，召開「為豪雨重創南臺灣研商本府成立緊急災防支援小組相關事宜會議」，決議成立「緊急災防支援小組」，彙整相關局處可調配的人力與機具，整裝待命，以利在第一時間對受災縣市伸出援手。
三、案經15日晚間由雲林縣政府透過水利署提出支援抽水機需求後，並於16日與雲林縣政府聯繫後，決定由該縣政府工務局作為聯繫窗口，派遣本府「緊急災防支援小組」前往救援，且迅即於當(16)日上午10時30分由  市長親自授旗後前往。
四、本府自6月16日派遣「緊急災防支援小組」前往雲林縣及嘉義縣災區救援，期間計派遣消防局、養工處、民政局、環保局、衛生局等5個單位，共出動177人、各式車輛25輛、各式抽水裝備34部及各項醫療物資，至6月26日18時完成整個支援任務，"
94,海棠(Haitang)颱風(強烈)-94年5號颱風,"94年7月16日16時30分(二級開設)
94年7月17日0時(一級開設)
94年7月18日22時(二級開設)",94年7月19日21時撤除,"(7月18日停止上班上課)
人員死亡1名(意外落水溺斃)
人員受傷10名(重傷1人、輕傷9人)
電力停電26,813戶
坍方(落石)6件
積水區11件
房屋淹水10件
道路受損2件
路樹倒塌1,734棵
垃圾清運2處
交通號誌損壞31件
電線桿損壞23件
路燈故障13件
招牌掉落93件
火警搶救5件
緊急救護11件
其它114件
電信停話集中於信義區、士林區及北投區
市長及秘書長分別召開5次及1次整備會議"
94,馬莎(Matsa)颱風(中度)-94年9號颱風,94年8月4日8時30分(一級開設),94年8月5日20時30分,"(8月5日停止上班上課)
無人員傷亡事件
電力停電1652戶
坍方(落石)7件
積水區15件
房屋淹水4件
道路受損6件
路樹倒塌95棵
垃圾清運14處
交通號誌損壞7件
電線桿損壞3件
路燈故障3件
招牌掉落29件
其它40件
市長召開3次整備會議"
94,泰利(Talim)颱風(強烈)-94年13號颱風,"94年8月30日23時(二級開設)
94年8月31日8時(一級開設)",94年9月1日17時40分,"(8月31日16時開始停止上班上課，9月1日停止上班上課)
人員受傷14名(皆輕傷)
電力停電10,086戶
積水區2件
坍方(落石)3件
道路受損8件
路樹倒塌281棵
交通號誌損壞28件
路燈故障10件
招牌掉落158件
電線桿損壞31件
火警搶救1件
緊急救護6件
其它199件
電信停話集中於大安區、士林區及北投區
市長召開3次整備會議"
94,卡努(Khanun)颱風(中度)-94年15號颱風,94年9月10日8時30(一級開設),94年9月11日5時30分,"無人員受傷
交通號誌損壞1件
招牌掉落1件
其它3件
市長召開2次整備會議"
94,龍王(Longwang)颱風(強烈)-94年19號颱風,94年10月1日10時(一級開設),94年10月2日17時30分,"人員受傷4名(皆輕傷)
電力停電1,400戶
坍方(落石)1件
道路受損1件
路樹倒塌28棵
交通號誌損壞4件
路燈故障1件
招牌掉落24件
電線桿損壞3件
火警搶救1件
其它34件
市長召開2次整備會議
(花蓮最大風速創當地氣象站紀錄)"
95,珍珠(Chanchu)颱風(中度)-95年1號颱風,"95年5月17日22時(二級開設)
95年5月18日8時(一級開設)",95年5月18日12時30分,"無災情。
(時值本府將於5/18辦理95年度跨區災害防救綜合演習，為因應颱風來襲，並做好相關防颱準備，正式演習前一晚，臨時決定取消「疫災(禽流感)」及「防震」等2組演習，僅進行「防汛」及「土石流防災疏散避難」等2組演習，並分別由市長及陳副市長擔任該組演習統裁官。)"
95,碧利斯(Bilis)颱風(輕度)-95年4號颱風,"95年7月12日14時(二級開設)
95年7月12日16時(一級開設)",95年7月14日15時,"人員受傷3名
電力停電6,093戶
積水區2件
房屋淹水1戶
坍方(落石)1件
道路受損1件
路樹倒塌57棵
交通號誌損壞2件
招牌掉落9件
電線桿損壞3件
火警搶救2件
其它1件"
95,凱米(Kaemi)颱風(中度),95年7月24日8時30分(二級開設),95年7月25日12時30分,"路樹倒塌11棵
招牌掉落8件
電線桿損壞1件
火警搶救1件
其它1件"
95,桑美(Saomai)颱風(中度)-95年8號颱風,95年8月9日14時(二級開設),95年8月10日14時30分,"電力停電1處
其它1件
95年度第8號颱風"
95,1226屏東地震,95年12月26日20時26分(本市災害應變中心無開設),,"屏東恆春地震站西偏南22.8公里處發生氏規模6.7地震。21:25通報22:15集結完畢(動員60人於消防局1樓車庫集結，由吳秀光副市長主持授旗儀式後待命)
災情統計：計造成3民宅倒塌，2死42傷(屏東縣2死38傷，高雄縣3傷，高雄市1傷)，火災12件(高雄市10件、屏東縣2件)，另救出民眾56人，共出動空勤直升機1架次、國軍168人、本署特搜隊6車12人、屏東縣、高雄縣、高雄市3消防局共472人次(消防328人次、義消144人次)、救災車輛138車次(消防車106車次、救護車32車次)搶救。"
96,帕布(Pabuk)颱風(輕度)-96年6號颱風,96年8月7日8時30分(二級開設),96年8月8日11時30分,"路樹倒塌15棵
招牌掉落2件
道路受損1件
(成立期間中央氣象局未將臺北納入陸上警戒範圍)"
96,梧提(Wutip)颱風(輕度)-96年7號颱風,96年8月8日11時30分(二級開設),96年8月9日11時30分,"路樹倒塌1棵
(梧提災害應變中心乃接續帕布災害應變中心解除後成立，成立期間中央氣象局未將臺北納入陸上警戒範圍)"
96,聖帕(Sepat)颱風(強烈)-96年8號颱風,"96年8月16日23時(二級開設)
96年8月17日9時(一級開設)",96年8月19日7時,"(5時30分解除臺北陸上警戒範圍)
(8月18日星期六，達停止上班上課標準)
人員受傷15名(皆輕傷)
電力停電948戶
積水區(處)1件
房屋淹水(戶)1件
坍方(落石)2件
道路受損3件
路樹倒塌316處
交通號誌損壞11件
路燈故障1件
招牌掉落56件
電線桿損壞19件
火警搶救1件
緊急救護14件
其它97件
市長召開2次災害防救會議
啟動縣市支援機制：支援雲林縣臺西鄉抽水(8/20授旗出發)"
96,韋帕(Wipha)颱風(中度)-96年12號颱風,"96年9月17日17時30分(二級開設)
96年9月17日20時30分(一級開設)",96年9月19日3時,"(19日2時30分解除臺北陸上警戒範圍)
(9月18日星期二，停止上班上課)
人員受傷2名(皆輕傷)
電力停電(5處)1,748戶
積水區(處)1件
坍方(落石)2件
道路受損2件
路樹倒塌36處
交通號誌損壞9件
路燈故障1件
招牌掉落17件
電線桿損壞2件
緊急救護2件
其它11件
市長召開2次災害防救會議"
96,柯羅莎(Krosa) (輕度轉強烈)-96年15號颱風,"96年10月5日9時(二級開設)
96年10月5日14時(一級開設)",96年10月7日17時30分,"(10月6、7日星期六、日，已達停止上班上課標準)
人員死亡2名、人員受傷20名
電力停電125(處)
電信停話1(處)
瓦斯漏氣1(處)
積水區(處)110件
房屋淹水35戶
坍方(落石)71件
道路受損22件
路樹倒塌876處
交通號誌損壞58件
路燈故障17件
招牌掉落236件
電線桿損壞73件
垃圾清運7處
緊急救護22件
其它485件
市長召開3次災害防救會議"
97,腸病毒災害應變中心,97年6月19日8時30分(二級開設),97年7月21日18時,由衛生局、社會局及教育局派員進駐(幕僚作業室)，並由衛生局EOC擔任統一聯絡窗口，運作時間為每日8時30分至18時。總計開設33天。
97,卡玫基(Kalmaegi)颱風(輕度)-97年7號颱風,"97年7月17日9時(二級開設)
97年7月17日10時30分(一級開設)",97年7月18日14時30分,"坍方(落石)1件
路樹倒塌5處
交通號誌損壞1件
本市無人員傷亡(全臺灣地區合計死亡20人，失蹤6人，受傷8人)"
97,鳳凰(Fungwong)颱風(輕-中度)-97年8號颱風,"97年7月26日20時(二級開設)
97年7月27日8時30分(一級開設)",97年7月29日0時,"(7月28日星期一，停止上班上課)
人員受傷4名
電力停電5(處)
電信停話1(處)
積水區(處)7件
房屋淹水1戶
坍方(落石)4件
道路受損9件
路樹倒塌101處
交通號誌損壞19件
路燈故障12件
招牌掉落22件
電線桿損壞19件
垃圾清運8處
火警搶救1件
緊急救護2件
其它39件
市長召開2次災害防救會議(27日0900、2100)，1次記者會(28日1400假EOC新聞發布室)。"
97,傳染病災害應變中心,97年8月25日8時30分(二級開設),,因應本市社子島地區傳出登革熱傳染病，由衛生局、社會局、民政局、環保局及教育局派員進駐(幕僚作業室)，並由衛生局EOC擔任統一聯絡窗口，運作時間為每日8時30分至18時。
97,辛樂克(Sinlaku)颱風(強烈)-97年13號颱風,"97年9月12日8時30分(二級開設)
97年9月12日12時(一級開設)",97年9月15日20時30分,"(9月12日晚上及13、14日星期六、日，達停止上班上課標準)
人員受傷2名。
電力停電12(處)、瓦斯漏氣1(處)、積水區(處)162件、房屋淹水40戶、坍方(落石)54件、道路受損76件、路樹倒塌277處、交通號誌損壞89件、路燈故障86件、招牌掉落43件、電線桿損壞22件、垃圾清運7處、緊急救護1件、火警搶救1件、其它129件。
市長召開4次災害防救會議(12日21:00，13日10:30，14日08:00、18:00)。
辛樂克颱風行徑緩慢，數度於臺灣北部外海呈滯留狀態，總計本市災害應變中心開設84小時。"
97,薔蜜(Jangmi)颱風(強烈)-97年15號颱風,"97年9月27日13時(二級開設)
97年9月27日20時(一級開設)",97年9月29日17時30分,"(9月28日星期日達停止上班上課標準、9月29日星期一停止上班上課)
人員受傷1名、電力停電56(處)、積水區(處)29件、房屋淹水6戶、坍方(落石)32件、道路受損35件、路樹倒塌400處、交通號誌損壞56件、路燈故障51件、招牌掉落163件、電線桿損壞66件、垃圾清運16處、其它299件。
受困人數及疏散情形：
1、南港區舊庄街306巷1、1-1及2號：14人。
2、南港區研究院路2段102巷1弄5-1號：1人。
3、南港區舊庄路2段245巷2號：7人。
4、文山區軍功路150巷5、5-1號：4人。
5、文山區景文街146巷：16人。
6、文山區景興路153巷50弄14號：2人。
7、士林區港溪里74及100巷：7人。
8、信義區信義路5段150巷編號27號老舊聚落：19人。
9、信義區編號5、6、7、8、9、25號老舊聚落：411人
10、大安區臥龍街山區編號25號老舊聚落：45人。
11、大安區編號16、17、18號老舊聚落：217人。
12、北投區秀山路159巷一帶：43人。
13、中山區劍南路352、648巷聚落：21人。
14、文山區萬壽路61巷棲霞山莊、75巷政大御花園：261人。累積疏散388戶、市民1,068人
市長召開4次災害防救會議(27日21:00，28日09:00、18:00，29日17:00)。
行政院長劉兆玄院長於9月27日21:40蒞臨本市災害應變中心視察及聽取防颱整備情形
9月28日晚上萬壽路61巷及75巷後側，發生土石坍方及泥流流入民宅，因發生地點距貓空纜車立柱不遠，市長於10月1日宣布貓空纜車自10月1日15時起，暫停營運，至4個技師工會檢測安全無虞後，才會再次開放營運。"
98,H1N1新型流感疫情應變中心,98年4月28日14時(二級開設),98年6月19日17時30分,"一、因應墨西哥與美國等地區爆發豬流感(swine flu)疫情，行政院衛生署已於4月28日11時宣布我國疫情為A1 級(WHO於臺北時間4月28日凌晨4時作成決議，將疫情等級提升為第4 級，P h a s e 4 ，相當於我國疫情分級的A1 級)。
二、另據美國CDC 指出，猪流感之潛伏期為1~4 天，可感染期為症狀出現前1 天至發病後第7天(意指症狀出現前即具傳染力)，患者出現類流感之症狀，如發燒、嗜睡、食慾不振及咳嗽等，甚至有流鼻水、喉嚨痛、噁心嘔吐及腹瀉等症狀，目前尚未有明確之病例定義(摘自http://www.cdc.gov/swineflu/key_facts.htm)
三、4月28日12:30由陳永仁副秘書長假EOC主持召開本市H1N1新型流感疫情應變中心成立會議，會中決議本市H1N1新型流感疫情應變中心自4月28日14時假EOC成立，初期由本府衛生局、社會局、教育局、民政局、環保局、發言人室及消防局派員進駐，運作時間為每週一至週五的8時30分至17時30分，開設期間每天的16時召開定期會議(由衛生局疾病管制處長主持)，遇週三及週五之定期會議則擴大辦理(由陳永仁副秘書長主持)。
四、衛生署於6月19日將H1N1新型流感由第一類法定傳染病，降為第四類法定傳染病中的流感重症病例通報。(即不必像以往須在24小時內通報並完成採檢、後送隔離治療，密切接觸者也不必接受預防性投藥及居家管理。另外，國外旅遊警示也一併取消。降級之後，若病患為流感合併肺炎或腦炎重症，醫師才須在七天內通報。臺灣也不須再向世界衛生組織（ＷＨＯ）通報病例，將改為定期社區疫情報告。故本市H1N1疫情應變指揮中心2級開設，於6月19日整備會議結束後暫停開設。"
98,H1N1新型流感疫情應變中心,98年8月4日14時(二級開設),99年1月29日17時30分,"由本府衛生局、社會局、教育局、民政局、環保局、發言人室及消防局派員進駐，運作時間為每週一至週五的8時30分至17時30分，開設期間每天的16時召開定期會議(由衛生局疾病管制處長主持)，遇週三及週五之定期會議則擴大辦理(由陳永仁副秘書長主持)。
國內H1N1流感併發重症確診888人、死亡40人，其中臺北市確診172人、死亡4人、出院167人、住院1人。"
98,莫拉克(Morakot)颱風(中度)-98年8號颱風,"98年8月6日11時(二級開設)
98年8月6日14時(一級開設)",98年8月9日20時30分,"(8月7日星期五停止上班上課、8月8日星期六達停止上班上課標準)
無人員傷亡
房屋倒塌1件
電力停電161(處)
電信停話2(處)
瓦斯漏氣1(處)
自來水停水2(處)
道水積水24(處)
房屋淹水9戶
坍方(落石)11件
道路受損55件
路樹倒塌464處
交通號誌損壞81件
路燈故障120件
招牌掉落104件
電線桿損壞76件
緊急救護1(件)
其它264件
市長召開3次災害防救會議(6日17:00，7日09:00，8日09:00)
莫拉克颱風中心從花蓮縣花蓮市登陸，自臺北與桃園交界出海(行進緩慢滯留時間超長)，惟其外圍雲系及西南氣流在南部平地及山區3天累積雨量，普遍在1500公厘以上，造成大範圍地區淹水及山區爆發土石流現象，截至9月14日止，已知有625人死亡、76人失踨、4人重傷，農漁業損失164億6863萬2千元(其中農漁牧產業損失108億3061萬8千元、農漁牧相關設施損失56億3801萬4千元) (其中農漁牧產業損失為僅次於85年賀伯颱風的180億，為近20年來第2高)。"
98,芭瑪(Parma)颱風(中度)-98年17號颱風,98年10月4日14時(二級開設),98年10月6日10時,"無人員傷亡
電力停電2(處)
坍方(落石)3件
路樹倒塌15處
交通號誌損壞81件
招牌掉落8件
電線桿損壞3件
其它11件
市長召開3次災前整備會議(2日15:30，3日14:00，4日14:30，其中行政院朱立倫副院長於3日14時蒞臨EOC視察本市災前整備情形)。"
99,南修(Namtheum)颱風(輕度)-99年第8號颱風,99年8月31日0時(一級開設),99年8月31日18時,"(由臺北外海之低氣壓形成輕度颱風)
市長召開1次災前整備會議(31日11:20)
受理案件56件
電力停電5(處)
道水積水3(處)
房屋淹水1戶
坍方(落石)2件
道路受損5件
路樹倒塌20處
交通號誌損壞3件
路燈故障2件
招牌掉落1件
電線桿損壞1件
其它13件"
