醫事機構代碼,層級,院所名稱,電話,分機,地址,可給藥,可衛教,僅調劑
5901174235,藥局,柏愛藥局,(02)27325472,,臺北市信義區基隆路二段131-20號,V,V,
0101090517,區域醫院,臺北市立聯合醫院陽明院區,(02)25553000,,臺北市士林區雨聲街105號、臺北市士林區中正路439號1樓,V,V,
1101150011,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,(02)28389477,,臺北市士林區文昌路95號及士商路51號1至7樓53、55號,V,V,
3501150422,診所,存德小兒科診所,(02)28342567,,臺北市士林區文林路460號,V,,
3501150575,診所,鄭醫師診所,(02)28127412,,臺北市士林區延平北路5段120號1、2樓,V,V,
3501151018,診所,林博通醫師診所,(02)28851148,,臺北市士林區通河街60號1樓,V,,
3501151438,診所,德福診所,(02)28811982,,臺北市士林區大東路77號,V,V,
3501151849,診所,忠誠聯合診所,(02)88661176,,臺北市士林區忠誠路2段50巷35號,V,V,
3501154420,診所,榮清耳鼻喉科診所,(02)28316878,,臺北市士林區文林路483號（1樓）,V,,
3501154724,診所,心築身心診所,(02)28856572,,臺北市士林區劍潭路28號1樓、30號1樓,V,V,
3501154733,診所,士林身心醫學診所,(02)28812205,,臺北市士林區文林路410號,V,V,
3501155007,診所,士林欣然耳鼻喉科診所,(02)28386090,,臺北市士林區文林路４５０號,V,V,
3501155098,診所,政吉診所,(02)28748318,,臺北市士林區士東路６７號１樓,V,V,
5901150244,藥局,佳赫藥局,(02)28367202,,臺北市士林區文昌路62號,V,V,
5901152293,藥局,安泰藥師藥局,(02)28166977,,臺北市士林區延平北路六段83號（實際使用：1、2樓）,V,V,
5901153245,藥局,大東健保藥局,(02)28834672,,臺北市士林區大東路86－4號,V,V,
5901154162,藥局,慈航藥局,(02)28813168,,臺北市士林區文林路441號,V,V,
5901154331,藥局,天養藥局,(02)28387466,,臺北市士林區蘭雅里中山北路六段262號1樓,V,V,
5901154466,藥局,大田大藥局,(02)28326112,,臺北市士林區德行東路１３３號１樓,V,V,
0501160014,區域醫院,三軍總醫院北投分院附設民眾診療服務處,(02)28935865,,臺北市北投區新民路60號中和街250號,V,V,
0601160016,醫學中心,臺北榮民總醫院,(02)28712121,,臺北市北投區石牌路2段201號,V,V,
0701160518,地區醫院,臺北市立關渡醫院－委託臺北榮民總醫院經營,(02)28587000,,臺北市北投區知行路225巷12號,V,V,
1101160017,區域醫院,振興醫療財團法人振興醫院,(02)28264400,,臺北市北投區振興街45號,V,V,
1101160026,區域醫院,醫療財團法人辜公亮基金會和信治癌中心醫院,(02)28970011,3912,臺北市北投區立德路125號,V,V,
2101161033,診所,臺北市立聯合醫院附設北投門診部,(02)28912670,,臺北市北投區新市街30號5樓,V,V,
3501160231,診所,洪耳鼻喉科診所,(02)28928769,,臺北市北投區中央南路1段43號,V,V,
3501160982,診所,清田婦產科家醫科診所,(02)28931323,,臺北市北投區中和街268號,V,V,
3501160991,診所,張參雄診所,(02)28926555,,臺北市北投區光明路166號、166－1號1．2．3樓,V,V,
3501162502,診所,惠康診所,(02)28283964,,臺北市北投區西安街2段113號,V,V,
3501162664,診所,王永良診所,(02)28227287,,臺北市北投區自強街94號,V,V,
3501162682,診所,張晉豪診所,(02)28913820,,臺北市北投區中央南路1段155號,V,,
3501162879,診所,陳珀勳診所,(02)28206263,,臺北市北投區明德路75號1樓,V,V,
3501163036,診所,黃正宏診所,(02)28217076,,臺北市北投區西安街1段359號,V,V,
3501163312,診所,台北欣安耳鼻喉科診所,(02)28210501,,臺北市北投區石牌路1段152號,V,V,
3501163410,診所,石牌鄭身心醫學診所,(02)28227660,,臺北市北投區石牌路1段69號（實際地址：1、2樓）,V,V,
3501163509,診所,常哲診所,(02)28285515,,臺北市北投區明德路157－4號（實際使用：1樓）,V,V,
3501163698,診所,文遠診所,(02)28739991,,臺北市北投區石牌路２段３４６號１樓及２樓,V,,
3701161054,牙科診所,微美牙醫診所,(02)28209122,,臺北市北投區實踐街38號,V,V,
5901160197,藥局,川秀藥局,(02)28279996,,臺北市北投區石牌路2段99巷9號1樓,V,V,
5901162119,藥局,祐鄰藥局,(02)28281232,,臺北市北投區尊賢街250號,V,V,
5901163107,藥局,小豬藥局,(02)28217099,,臺北市北投區東陽街403號1樓,V,V,
5901163330,藥局,萬信藥局,(02)28583083,,臺北市北投區知行路305號（實際使用1樓）,V,V,
5901163938,藥局,專品石牌藥局,(02)28214888,,臺北市北投區石牌路２段９９巷１１號１樓,V,V,
0501110514,醫學中心,三軍總醫院附設民眾診療服務處,(02)87923311,,臺北市內湖區成功路2段325號,V,V,
1101110026,地區醫院,康寧醫療財團法人康寧醫院,(02)26345500,,臺北市內湖區成功路5段420巷26號,V,V,
1301110511,地區醫院,中國醫藥大學附設醫院臺北分院,(02)27919696,,臺北市內湖區內湖路2段360號,V,V,
3501110080,診所,陳森豊診所,(02)27990361,,臺北市內湖區環山路1段2號1樓及2樓,V,V,
3501110311,診所,徐醫師診所,(02)26336616,,臺北市內湖區東湖路53號,V,V,
3501110455,診所,東湖張耳鼻喉科診所,(02)26331864,,臺北市內湖區康寧路3段169號,V,V,
3501110571,診所,劉淦華診所,(02)27905374,,臺北市內湖區金龍路43號1樓,V,V,
3501110982,診所,馬思特診所,(02)27925994,,臺北市內湖區成功路4段53號1樓,V,V,
3501112851,診所,日新診所,(02)26342743,,臺北市內湖區成功路5段446號1樓,V,V,
3501113134,診所,焉醫師診所,(02)27995008,,臺北市內湖區內湖路2段21號,V,V,
3501113330,診所,仁弘耳鼻喉科診所,(02)26596360,,臺北市內湖區內湖路1段737巷50弄37號,V,,
3501113849,診所,育睿診所,(02)26560801,,臺北市內湖區內湖路1段217巷35號,V,,
3501114042,診所,新明診所,(02)87921282,,臺北市內湖區新明路386號,V,V,
4001110018,診所,國泰醫療財團法人內湖國泰診所,(02)87972121,,臺北市內湖區瑞光路337號（1、2、3、4樓）,V,V,
5901110339,藥局,富山藥局,(02)27996446,,臺北市內湖區麗山街364巷2號1樓,V,V,
5901113312,藥局,江南大藥局,(02)26595430,,臺北市內湖區文德路22巷9弄56號,V,V,
5901113349,藥局,澴山藥局,(02)87978793,,臺北市內湖區環山路1段4號,V,V,
5901113849,藥局,佳德健保藥局,(02)26315910,,臺北市內湖區康寧路3段151號1樓,V,V,
0101090517,區域醫院,臺北市立聯合醫院忠孝院區,(02)25553000,,臺北市南港區同德路87號、南港區園區街3之2號2樓,V,V,
3501121814,診所,李文珍小兒科診所,(02)26511871,,臺北市南港區研究院路2段74號,V,V,
3501121823,診所,天仁健康診所,(02)27862687,,臺北市南港區成福路21號,V,V,
3701120106,牙科診所,南港牙醫診所,(02)27829777,,臺北市南港區研究院路1段11號,V,,
5901121421,藥局,祥安藥局,(02)26547322,,臺北市南港區中坡南路25號,V,V,
1301200010,醫學中心,臺北市立萬芳醫院-委託臺北醫學大學辦理,(02)29307930,,臺北市文山區興隆路3段111號,V,V,
1501201020,地區醫院,景美醫院,(02)29331010,,臺北市文山區羅斯福路6段280號及文山區育英街18巷2號1樓,V,V,
3501200249,診所,仁耀診所,(02)29317788,,臺北市文山區興隆路1段273號1樓,V,,
3501201004,診所,洪佑承小兒專科診所,(02)29364708,,臺北市文山區興隆路4段64之2號,V,V,
3501202798,診所,定安診所,(02)29323755,,臺北市文山區景興路165號,V,V,
3501202967,診所,東翰診所,(02)29308330,,臺北市文山區興隆路2段139號,V,V,
3501203357,診所,大豐耳鼻喉科診所,(02)29371299,,臺北市文山區木新路3段220號,V,,
3501203455,診所,佳鴻診所,(02)29333096,,臺北市文山區景美里羅斯福路六段256號1樓,V,V,
5901201540,藥局,逸仙藥師藥局,(02)29312597,,臺北市文山區興隆路2段218－1號1樓,V,V,
5901202949,藥局,萬隆大藥局,(02)29334580,,臺北市文山區羅斯福路5段218巷15號,V,V,
5901203697,藥局,專品政大藥局,(02)22343010,,臺北市文山區指南路2段8號,V,V,
5901183510,藥局,怡誠藥局,(02) 23625100,,臺北市中正區汀州路二段212號,,,V
5901184446,藥局,北車維康藥局,(02) 23613509,,臺北市中正區青島西路11號,,,V
5901184491,藥局,躍獅南門藥局,(02) 23141111,,臺北市中正區中華路二段39巷10號,,,V
5901183387,藥局,丞良藥局,(02) 33938868,,臺北市中正區南昌路一段78號地下1樓,,,V
5901184679,藥局,汀州藥局,(02) 23090705,,臺北市中正區汀州路一段187、189、191號（1樓）,,,V
5901180224,藥局,中心藥局,(02) 23689889,,臺北市中正區汀州路三段121號,,,V
5901185014,藥局,愛國藥局,(02) 23826211,,臺北市中正區延平南路210號（1樓）,,,V
5901092130,藥局,大同民生藥局,(02) 25558886,,臺北市大同區民生西路128號1樓、2樓及130號1樓、2樓,,,V
5901090369,藥局,保慶藥局,(02) 25538988,,臺北市大同區保安街21號,,,V
5901092176,藥局,延平藥局,(02) 25986800,,臺北市大同區延平北路三段4號1樓,,,V
5901104171,藥局,明水藥局,(02)25331121,,臺北市中山區明水路651號,,,V
5901104028,藥局,錦州藥局,(02) 25026650,,臺北市中山區錦州街244號1樓,,,V
5901104046,藥局,吉林藥局,(02) 25865990,,臺北市中山區吉林路371號(1樓),,,V
5901103110,藥局,大直健康藥局,(02) 25323310,,臺北市中山區北安路591號,,,V
5901101161,藥局,晏晟藥局,(02) 25851445,,臺北市中山區林森北路625號,,,V
5901103183,藥局,OK藥師藥局,(02) 25170068,,臺北市中山區興安街95號,,,V
5901101250,藥局,美日藥局,(02) 25631662,,臺北市中山區天津街66號1樓,,,V
5901103414,藥局,元宏藥局,(02) 25339728,,臺北市中山區北安路458巷41弄49號,,,V
5901103405,藥局,大直永安藥局,(02) 25332125,,臺北市中山區北安路567之2號,,,V
5901101607,藥局,蓁榛健康生活藥局,(02) 25099333,,臺北市中山區合江街100－2號1樓,,,V
5901103334,藥局,大直小太陽藥局,(02) 85093208,,臺北市中山區北安路607之1號,,,V
5901103656,藥局,大樹龍江藥局,(02) 25035666,,臺北市中山區龍江路242號,,,V
5901103754,藥局,永育康暉藥局,(02) 85012227,,臺北市中山區樂群二路210之2號1樓,,,V
5901104117,藥局,永直藥局,(02)85098059,,臺北市中山區北安路595巷2弄6號1樓,,,V
5901013871,藥局,大樹松山藥局,(02) 27562226,,臺北市松山區民生東路五段107號1樓,,,V
5901013808,藥局,豐澤藥局,(02) 27169636,,臺北市松山區南京東路三段269巷6-9號1樓,,,V
5901013979,藥局,新東藥局,(02) 27656336,,臺北市松山區民生東路五段191號,,,V
5901013700,藥局,杏一台北台安藥局,(02) 87728295,,臺北市松山區八德路二段399號1樓,,,V
5901013175,藥局,台北長庚維康藥局,(02) 27199386,,臺北市松山區敦化北路199巷2弄5號1樓,,,V
5901012203,藥局,博荃藥局,(02) 27316737,,臺北市松山區敦化北路4巷51號,,,V
5901013835,藥局,美仁藥局,(02) 27166112,,臺北市松山區健康路5之1號1樓,,,V
5901013504,藥局,杏一台北長庚藥局,(02) 25149463,,臺北市松山區敦化北路199巷2弄3號,,,V
5901013433,藥局,杏一延吉藥局,(02) 25798450,,臺北市松山區八德路三段74巷45弄1號1樓,,,V
5901013951,藥局,欣生藥局,(02) 27567611,,臺北市松山區民生東路五段138巷1號,,,V
5901014172,藥局,吉仁藥局,(02) 25776115,,臺北市松山區延吉街44號1樓,,,V
5901025166,藥局,佳鄰藥局,(02) 27211259,,臺北市大安區敦化南路一段１９１號地下之１２４至１２９,,,V
5901025497,藥局,國泰藥局,(02) 27086221,,臺北市大安區仁愛路四段300巷17弄1號1樓,,,V
5901023966,藥局,愛維康生活藥局,(02) 27059791,,臺北市大安區四維路170巷21號1樓,,,V
5901024525,藥局,國泰維康藥局,(02) 27542185,,臺北市大安區仁愛路四段266巷15弄20號,,,V
5901022521,藥局,台安藥局,(02) 27549099,,臺北市大安區和平東路二段353號1樓,,,V
5901024856,藥局,杏一台北國泰藥局,(02) 27011785,,臺北市大安區仁愛路四段266巷15弄4號,,,V
5901024767,藥局,杏一樂業藥局,(02) 27383194,,臺北市大安區樂業街162號,,,V
5901024098,藥局,杏一瑞安藥局,(02) 27096710,,臺北市大安區瑞安街208巷11弄1號,,,V
5901025522,藥局,安森藥局,(02)27076003,,臺北市大安區信義路３段134巷100號1樓,,,V
5901025595,藥局,仁慈藥局,(02) 27002130,,臺北市大安區大安路一段178號、180號1樓,,,V
5901192153,藥局,永康大藥局,(02) 23317675,,臺北市萬華區桂林路49號,,,V
5901192831,藥局,偉安藥局,(02) 23037186,,臺北市萬華區西藏路109號,,,V
5901190444,藥局,安聖藥局,(02) 23037620,,臺北市萬華區西園路二段256號1樓,,,V
5901193221,藥局,正盛藥局,(02) 23050386,,臺北市萬華區中華路二段434－1號,,,V
5901192877,藥局,瑞生藥局,(02) 23012159,,臺北市萬華區西園路二段252號,,,V
5901192975,藥局,萬華藥局,(02) 23012221,,臺北市萬華區萬大路248號1樓、2樓,,,V
5901193310,藥局,和德藥局,(02) 23331522,,臺北市萬華區西園路二段292號1樓,,,V
5901193230,藥局,啟仁藥局,(02) 23362771,,臺北市萬華區環河南路二段177號,,,V
5901192162,藥局,寶興大藥局,(02) 23013375,,臺北市萬華區寶興街119號,,,V
5901190686,藥局,信義藥局,(02)23074599,,臺北市萬華區新和里青年路28號,,,V
5901174093,藥局,杏一後山埤藥局,(02) 27274357,,臺北市信義區忠孝東路五段778號1樓,,,V
5901172179,藥局,新和平藥局,(02) 23460951,,臺北市信義區虎林街198號1樓,,,V
5901173934,藥局,躍獅光復藥局,(02) 87862307,,臺北市信義區光復南路417之8號,,,V
5901174084,藥局,市政藥局,(02) 27560050,,臺北市信義區忠孝東路五段169號1樓、171號1樓,,,V
5901173881,藥局,壹間藥師藥局,(02) 27672833,,臺北市信義區虎林街120巷148號,,,V
5901174575,藥局,日新藥局,(02) 27560999,,臺北市信義區永吉路30巷148弄4號,,,V
5901154313,藥局,社子藥局,(02) 28166135,,臺北市士林區社子街4號1樓,,,V
5901153969,藥局,杏一士林延平藥局,(02) 28112937,,臺北市士林區延平北路五段250號（1樓）、252號1樓,,,V
5901152793,藥局,信光藥局,(02) 28366277,,臺北市士林區文昌路68號,,,V
5901153905,藥局,躍獅芝山藥局,(02) 28365822,,臺北市士林區福華路154號,,,V
5901153503,藥局,祥新藥局,(02) 28110906,,臺北市士林區社子街65號,,,V
5901152453,藥局,家赫藥局,(02) 28346453,,臺北市士林區忠義街80號1樓,,,V
5901154180,藥局,劍潭藥局,(02) 28826998,,臺北市士林區劍潭路55巷22號1樓,,,V
5901153272,藥局,光榮藥局,(02) 28136060,,臺北市士林區社中街118號,,,V
5901152122,藥局,社子全民藥局,(02) 28127412,,臺北市士林區延平北路五段120號,,,V
5901153674,藥局,愛佳藥局,(02) 28811199,,臺北市士林區承德路四段222之1號,,,V
5901152024,藥局,今欣藥局,(02) 28713129,,臺北市士林區天母西路41巷9號1樓,,,V
5901154457,藥局,天母藥局,(02) 28771202,,臺北市士林區天母西路26號,,,V
5901154493,藥局,芝山藥局,(02)28330353,,臺北市士林區忠誠路一段27、29號1樓,,,V
5901154199,藥局,心晴藥局,(02) 28856572,,臺北市士林區劍潭路28號1樓,,,V
5901154528,藥局,文林藥局,(02) 28310310,,臺北市士林區文林路484號1樓,,,V
5901154546,藥局,士東藥局,(02) 28760588,,臺北市士林區士東路91巷3號,,,V
5901154608,藥局,通河藥局,(02)28861332,,臺北市士林區通河街147號1樓,,,V
5901163689,藥局,良哲藥局,(02) 28285516,,臺北市北投區明德路157之4號（1樓）,,,V
5901162833,藥局,維康藥局,(02) 28206411,,臺北市北投區石牌路二段191、193號,,,V
5901163214,藥局,鴻恩藥局,(02) 28926410,,臺北市北投區中央南路一段129號,,,V
5901163492,藥局,全家藥粧藥局,(02) 28988685,,臺北市北投區光明路166－2號,,,V
5901163527,藥局,理得藥局,(02) 28289680,,臺北市北投區石牌路一段150號,,,V
5901160704,藥局,明華藥局,(02) 28971056,,臺北市北投區清江路8號,,,V
5901113894,藥局,六本熊藥局,(02) 26590017,,臺北市內湖區內湖路二段27號,,,V
5901113974,藥局,五分藥局,(02) 26336122,,臺北市內湖區五分街64號1樓及66號1樓,,,V
5901113723,藥局,杏一港墘藥局,(02) 87978746,,臺北市內湖區港墘路83號（1樓）,,,V
5901113563,藥局,耀元藥局,(02) 26337369,,臺北市內湖區康樂街150號,,,V
5901112842,藥局,早安元氣藥局,(02) 27923633,,臺北市內湖區成功路四段53號1樓,,,V
5901113250,藥局,大內湖藥局,(02) 27956286,,臺北市內湖區成功路三段164號,,,V
5901113661,藥局,內湖藥局,(02) 27940545,,臺北市內湖區康寧路一段116號1樓,,,V
5901112593,藥局,康健藥局,(02) 26305825,,臺北市內湖區康樂街80號,,,V
5901114122,藥局,東湖藥局,(02) 26330112,,臺北市內湖區東湖路43巷2號1樓,,,V
5901114131,藥局,瑞陽藥局,(02) 26581551,,臺北市內湖區文德路102號1樓,,,V
5901114159,藥局,康樂藥局,(02) 26310350,,臺北市內湖區康樂街72巷2號1樓,,,V
5901122142,藥局,東明藥局,(02) 26559663,,臺北市南港區東明街3號1樓,,,V
5901122062,藥局,躍獅忠孝藥局,(02) 27862829,,臺北市南港區成福路16號,,,V
5901122099,藥局,心心藥局,(02) 27862586,,臺北市南港區研究院路二段76號1樓,,,V
5901203606,藥局,大樹景美藥局,(02) 29322951,,臺北市文山區羅斯福路六段234號(1樓)、234之1,,,V
5901202654,藥局,康宜庭萬隆藥局,(02) 29348662,,臺北市文山區羅斯福路五段202號,,,V
5901201568,藥局,康宜庭生活藥局,(02) 29385363,,臺北市文山區興隆路四段64號,,,V
5901203508,藥局,健康家藥局,(02) 29330858,,臺北市文山區興邦里興隆路二段133號1樓,,,V
5901202672,藥局,美迦藥局,(02) 29362815,,臺北市文山區保儀路23號,,,V
